date,average_return
2020-08-24,0.00305238495693969
2021-01-27,-0.021017656337329643
2021-06-22,0.007334610923214085
2021-08-27,0.012416602837863003
2021-10-11,-0.0017360771787620483
2022-03-28,0.02469103706782823
2023-06-22,0.012463240744539295
2020-07-24,-0.017526189323490194
2020-08-05,0.005201127680884783
2022-07-27,0.05456950373796998
2022-08-02,-0.002756032956550316
2022-11-29,-0.011369344864732308
2023-05-22,0.01603902752630514
2023-09-14,0.01173722543249324
2023-11-08,0.005855399983892565
2024-02-05,-0.0073195523389642065
2024-05-30,-0.005688287332026076
2024-06-04,0.002690495106911169
2024-06-12,0.022191200747956205
2020-08-28,0.002745337212212955
2022-01-31,0.03562254654534282
2022-05-19,-0.008311533902366528
2023-09-19,1.2902438424625476E-5
2023-11-22,1.793057269444273E-4
2021-04-29,1.332470120126189E-4
2021-05-12,-0.030626970238138474
2021-07-20,0.02211096335054023
2021-07-30,-3.429026219546671E-4
2021-09-14,-0.002831559361508962
2022-05-26,0.03495885149488627
2022-06-22,-0.0037257339138724783
2020-09-24,0.009105341206626965
2020-12-18,0.004013007194282247
2022-03-16,0.03324894209853091
2022-06-06,0.008657121074755266
2022-11-21,-0.020493352732754856
2023-02-08,-0.017440620179236314
2023-06-23,-0.010215031078245576
2021-07-23,0.010267545135956005
2022-07-07,0.027520272650077327
2023-11-29,-0.005527217371070854
2022-03-15,0.030468092585166008
2022-12-09,0.0033060691063733936
2024-01-11,-0.0055354068108958284
2024-07-08,2.26561911287867E-4
2022-12-02,-0.0036872362389045064
2023-03-24,-6.19775355640146E-4
2023-09-27,-0.002253124219147318
2020-12-17,0.012634907580850677
2021-03-22,0.015084404403333977
2021-05-03,-0.005226655945420595
2021-10-08,-8.531135691640203E-4
2022-02-25,0.014709921989129283
2022-10-19,-0.0031180165025335247
2022-12-20,-0.014276153039105666
2023-11-17,-0.004762888014598057
2021-01-25,0.013317449589200694
2021-07-19,-0.018182370719395723
2023-05-03,-0.004094766564108869
2021-02-02,0.01633593536833785
2022-02-16,0.001412514417657652
2022-08-11,-0.008043521554047842
2024-07-05,0.016688080398128795
2024-07-11,-0.028881102053229513
2022-09-29,-0.03901521681588309
2023-10-12,-0.006891971351490725
2024-02-16,-0.007458787662310351
2024-07-18,-0.011538305001169489
2021-06-04,0.022337673924398217
2021-11-11,0.001585142196838183
2023-08-28,0.004990699625682815
2023-11-24,-0.002321212053134105
2024-03-28,-0.00686075514435807
2023-05-16,0.0036428206221849288
2023-07-18,0.011202378104051574
2024-02-09,0.012990634322230138
2021-07-13,-0.001842376419469459
2023-08-10,0.004302790015650053
2024-01-30,-0.0077889357611308245
2022-04-27,0.001737576444835171
2023-06-01,0.014332272265530974
2024-06-11,0.012713258107690917
2024-07-24,-0.05168010466357216
2021-11-01,0.006905654259804779
2022-03-22,0.032367588802925416
2022-09-06,-0.001845040520064143
2022-09-07,0.021824625124608317
2022-12-12,-0.0017901400056922812
2021-09-09,-0.003484894766943541
2022-02-01,0.0011543490176310885
2022-05-23,0.025737269210173545
2022-07-05,0.021528191970583532
2022-08-15,0.009964703165287001
2024-04-08,0.01233272404702781
2020-10-19,-0.02580736493707746
2021-05-07,0.00858098716521657
2022-04-12,-0.0030430766292765484
2022-12-28,-0.005747073497664458
2024-07-17,-0.0177923638350933
2024-07-30,-0.006166363757018604
2020-12-22,6.315447267361881E-4
2024-01-02,-0.014732765015183936
2020-12-30,0.0033063844706049165
2021-04-21,0.010975713965324114
2022-06-02,0.028493444969961545
2021-11-17,0.005880411061618947
2022-01-18,-0.0212003318772185
2020-11-06,-0.00806391614636002
2021-12-14,-0.015451088810686495
2022-08-03,0.030037305833189726
2021-07-08,-0.007911642041863023
2021-08-25,0.0016756233337279214
2021-11-23,-0.005986149613143069
2021-12-27,0.01742723342044534
2022-12-19,-0.01310441682562176
2022-12-29,0.037633953095964054
2023-08-03,2.9874686298383827E-4
2020-10-05,0.022919564790862546
2021-02-26,0.0018951375465285087
2021-06-28,0.011118673665764165
2021-09-13,0.0055698359484742275
2022-01-10,0.004286162398924156
2022-04-18,0.0028820396311067817
2022-05-24,-0.02652889291798991
2022-07-15,0.012210036755578264
2022-08-08,-8.85295843463171E-4
2023-02-16,-0.024608694795420293
2024-04-02,-0.01594670996466623
2021-04-07,0.0022031226639704243
2021-06-01,-0.0012943436650259964
2022-06-29,-0.0021425298339131107
2022-07-29,0.027627544926101567
2022-10-11,-0.017812229266720797
2023-07-31,2.1672737716594932E-4
2024-07-25,-0.00574008914765003
2020-08-04,-0.005755348272869942
2020-09-04,-0.008304486113735203
2021-08-23,0.01607547923548013
2022-09-20,-0.006583737567587239
2023-05-09,-0.009045327551131674
2024-03-12,0.007669411270585407
2021-04-15,0.016505590654228762
2021-05-21,-0.0031987831298770017
2022-11-01,-0.01357795353740134
2021-12-10,0.01599803974622079
2022-01-24,-0.006778853611748658
2024-05-29,-0.0053938015619441745
2022-04-06,-0.02988466406414838
2022-06-28,-0.03171293197390483
2024-04-15,-0.023178634104869134
2024-05-23,-0.01999052316788278
2020-07-02,0.02387283475456571
2022-04-21,-0.00855905416342739
2022-05-06,-0.0064851223484512915
2023-05-30,0.00851618376304008
2020-10-29,0.01900717079947877
2021-10-20,-0.0011784517732392535
2023-05-19,0.0024642190282428
2023-06-07,-0.014503340348918564
2023-10-13,-0.015230807296904625
2023-12-11,-0.008291286919777105
2023-04-12,-0.009900127246605783
2023-04-21,-0.004051757059112165
2021-09-30,-0.010867925853980033
2022-12-08,8.140465281801581E-5
2023-06-12,0.01248684036159765
